epoch [s], CPU usage [%], Clock [MHz], Tdie [C], Tgpu_edge [C], Tgpu_junc [C], Tsys [C], Power [W]
1598459153.716468433,0,2199.783890625,39,43,43,43,41.113
1598459154.768719735,.100,2199.892609375,39,43,43,43,43.685
1598459155.828904031,0,2199.8530156249994,39,43,43,43,43.193
1598459156.888643683,.100,2199.8697187499997,39,43,43,43,44.308
1598459157.948526986,0,2199.76128125,39.25,43,43,43,43.673
1598459159.156709887,.300,2199.83346875,39,43,43,43,46.613
1598459160.208511692,0,2187.5542343749994,39,43,43,43,42.611
1598459161.258886841,0,2186.8269999999993,39.125,43,43,43,45.113
1598459162.318814102,0,2199.792609375,39,43,43,43,40.717
1598459163.368597156,.300,2199.882328125,39,43,43,43,43.636
1598459164.549904983,.100,2199.894109375,39,43,43,43,40.728
1598459165.598560158,.100,2188.7067343749995,39,43,44,43,42.810
1598459166.657994697,0,2199.9004062500007,39,43,43,43,43.654
1598459167.718591966,0,2199.8795,39,43,43,42,43.543
1598459168.778781936,0,2199.87628125,39,43,43,42,42.679
1598459169.988335413,74.100,4010.083609374998,66.75,43,43,41,224.313
1598459171.283807037,99.900,3988.3535312500003,67.625,43,43,41,274.060
1598459172.534361112,99.900,3983.1821250000003,68.375,43,44,41,282.558
1598459173.834467613,100.000,3979.610937500001,68.875,43,43,41,281.695
1598459175.099116281,100.000,3976.5305625,69.5,43,44,41,280.288
1598459176.369750513,99.800,3988.477078125001,70.25,43,43,41,274.119
1598459177.591470248,100.000,3980.4669062500006,71.5,43,44,42,302.296
1598459178.958055809,100.000,3984.114171874999,72.25,43,43,42,266.352
1598459180.251474865,99.900,3987.755656250001,72.5,43,43,42,292.877
1598459181.480844668,99.900,3969.6540468749986,72.625,43,43,42,263.526
1598459182.756899135,99.900,3984.46171875,73.25,42,43,43,285.668
1598459184.022035744,99.800,3970.3398906249986,73.5,43,43,43,269.577
1598459185.261486001,100.000,3975.6624218749994,73.5,43,43,43,279.877
1598459186.481020730,99.900,3966.5576406249997,73.5,43,43,43,282.629
1598459187.777563058,99.900,3974.68653125,73.5,43,43,43,285.922
1598459189.027298394,99.900,3974.0023906250003,73.5,43,43,43,288.116
1598459190.345679087,99.800,3971.2518437500003,73.875,43,43,44,266.736
1598459191.621590639,100.000,3971.7305625,74.5,42,43,44,279.585
1598459192.856510631,100.000,3973.6186093750002,74.625,43,43,44,295.415
1598459194.207898869,99.900,3985.291546875,74.75,43,43,44,266.664
1598459195.452683260,100.000,3993.3459374999993,74.75,43,43,44,279.578
1598459196.709778847,100.000,3981.953265625,75.5,43,43,44,282.205
1598459197.961187941,99.900,3959.74603125,75.375,43,43,44,273.857
1598459199.168839981,100.000,3960.425593749999,75.375,43,43,44,286.563
1598459200.439744388,99.900,3980.464343749999,75.75,43,43,45,281.112
1598459201.651426654,99.900,3969.3675468749984,76,43,43,45,278.001
1598459202.935470003,99.900,3963.328374999999,76.625,43,43,44,277.795
1598459204.169153126,99.900,3974.7399375,77.25,42,43,44,296.854
1598459205.522030988,99.900,3964.7419218750006,77.5,43,43,46,270.915
1598459206.788821130,99.900,3970.6819375,77.5,42,43,46,271.854
1598459208.009530802,100.000,3968.066749999999,77.5,43,43,45,285.106
1598459209.258967561,100.000,3964.552515625001,77.625,43,43,45,274.965
1598459210.479564515,99.900,3974.8738906250005,78,43,43,45,283.064
1598459211.717360163,99.800,3964.2148281249993,79,43,43,45,275.966
1598459213.002892556,99.900,3964.810453125,78.875,43,43,46,303.846
1598459214.423217886,99.900,3965.0818593749987,78.125,43,43,46,262.186
1598459215.716060170,100.000,3963.541656249999,78.5,43,43,46,288.252
1598459217.030331399,99.900,3982.8288593750003,78.5,42,43,46,270.773
1598459218.290953147,99.900,3959.9608749999993,77.75,43,43,47,280.302
1598459219.564259606,100.000,3958.7601874999996,77.75,42,43,47,278.823
1598459220.800424117,99.900,3947.4860312500005,77.75,43,43,47,281.086
1598459222.081813208,99.900,3972.1443437500006,78.125,43,43,47,273.993
1598459223.293180996,100.000,3976.0665312499987,78.25,42,43,47,286.165
1598459224.529732767,99.800,3974.6596718749993,78.25,43,43,47,278.050
1598459225.747682175,99.900,3959.3976093749993,78.625,42,43,47,284.597
1598459227.013047494,99.900,3976.8057343749992,79.125,43,43,47,281.017
1598459228.267098050,99.900,3973.2400468750006,79.375,43,43,47,281.759
1598459229.552248974,99.900,3977.901312499999,79.5,42,43,47,273.867
1598459230.803205989,99.800,3970.04859375,79.625,43,43,47,280.227
1598459232.059259741,99.900,3940.667671875,79.375,42,43,47,282.655
1598459233.304660847,99.900,3968.9325468750008,79,43,43,47,284.171
1598459234.587303032,99.800,3968.961250000001,79,43,43,47,284.871
1598459235.890579537,99.900,3968.3936093750003,79.5,43,43,47,264.252
1598459237.133341291,99.900,3976.3473750000003,79.625,43,43,47,284.321
1598459238.394546533,99.900,3948.0837187500006,79.875,43,43,47,279.515
1598459239.618542552,99.900,3955.618281249999,79.625,43,43,47,278.853
1598459240.913365530,99.900,3956.2552656249995,79,43,43,48,287.806
1598459242.227982258,99.900,3957.038921875001,79,43,43,48,280.932
1598459243.488238575,99.900,3954.80296875,79.375,43,43,48,269.708
1598459244.762092071,99.800,3964.8862499999987,79.75,42,43,48,282.663
1598459246.024617642,100.000,3962.9100312499995,80,43,43,47,286.527
1598459247.277050379,99.900,3960.95753125,80,43,43,47,274.536
1598459248.557753413,99.900,3952.824734374999,80.125,43,43,48,284.646
1598459249.837997823,100.000,3958.0840937499997,80.5,43,43,48,275.338
1598459251.083485970,99.900,3959.3935312500007,81.375,43,43,48,294.274
1598459252.366242180,99.900,3972.750921875001,81.25,43,43,48,261.931
1598459253.591289345,99.900,3962.516281250001,81.25,43,43,48,306.264
1598459254.938510006,99.900,3963.14559375,80.75,42,43,48,266.029
1598459256.240705556,99.900,3955.7966093749988,80.75,43,43,48,277.573
1598459257.531687075,99.900,3957.2068750000008,80.625,43,43,48,272.627
1598459258.702242307,99.900,3942.3992187499994,80.625,43,43,48,282.013
1598459259.890998715,99.700,3950.6510625000005,80.625,43,43,48,277.933
1598459261.165241787,99.900,3957.8306093749998,80.75,43,43,48,284.102
1598459262.386804580,99.900,3959.66596875,81.25,43,43,48,281.935
1598459263.647227433,99.900,3963.2020312499994,81,43,43,49,274.124
1598459264.834377192,99.900,3954.6921562500006,81,42,43,49,282.546
1598459266.127573372,99.900,3945.042953125,81,42,43,49,281.669
1598459267.409465933,99.900,3944.2488906249996,80.5,42,43,49,274.571
1598459268.590287793,99.900,3945.0699218750005,80.375,43,43,49,281.218
1598459269.817160789,99.900,3950.0663125,80.375,43,43,49,295.085
1598459271.162356155,99.900,3941.185421874999,80.5,43,43,49,269.328
1598459272.378914342,99.900,3939.7582187499997,80.375,42,43,49,284.480
1598459273.589117184,100.000,3953.322953125,80.375,43,43,49,274.396
1598459274.841387449,99.900,3948.0082343750005,80.375,43,43,49,282.588
1598459276.136432012,99.900,3935.3119374999997,80.25,42,43,49,277.835
1598459277.394721095,99.900,3938.5069218750004,80.25,43,43,49,277.484
1598459278.609188044,99.900,3944.44484375,80.5,42,43,49,299.251
1598459279.929727179,99.900,3946.7815312499997,80.75,43,43,49,260.793
1598459281.151156228,99.900,3960.6478593749994,81,43,43,49,286.771
1598459282.425140037,99.900,3942.3254374999997,81,43,43,49,276.681
1598459283.662441534,99.900,3964.8940312500004,81.25,43,43,49,285.821
1598459284.989804324,99.900,3957.3954531249997,81.25,43,43,49,284.345
1598459286.292947826,99.900,3950.42640625,81.125,43,43,49,279.314
1598459287.551509397,99.900,3943.736484375001,81,43,43,49,273.424
1598459288.810834235,99.900,3949.62340625,80.75,43,43,49,285.256
1598459290.106251685,99.900,3966.7086562500003,81,43,43,49,271.684
1598459291.368453259,99.900,3970.9480000000012,81.5,43,43,49,282.385
1598459292.655280954,99.900,3978.774765625,82.5,43,43,49,276.110
1598459293.930548761,99.900,3955.605906249999,82.5,43,43,49,288.279
1598459295.224711050,100.000,3975.8501718750013,82.75,43,43,49,275.625
1598459296.450755530,99.900,3968.4587343750004,82.5,42,43,49,277.250
1598459297.691580429,99.900,3947.606265625,82.25,43,43,49,292.897
1598459299.023333261,99.900,3947.8316718749998,82.125,43,43,49,275.206
1598459300.262927322,100.000,3950.932781249999,82.125,43,43,49,279.857
1598459301.535274803,99.900,3961.2716406250006,82.375,43,43,50,284.092
1598459302.823061018,99.900,3971.679312500001,82.75,43,43,50,286.775
1598459304.150768415,99.800,3969.6642968749993,82.75,43,43,50,263.807
1598459305.359142675,99.900,3944.0134843749993,82.625,43,43,50,285.244
1598459306.623275826,100.000,3970.3857343750005,82.5,43,43,50,275.084
1598459307.852580167,99.800,3943.5030156250004,82.375,43,43,50,283.793
1598459309.138682263,99.900,3940.5016406250006,81.5,43,43,50,296.104
1598459310.490629564,99.800,3958.7857968750004,81.5,43,43,50,265.071
1598459311.740883982,99.900,3931.997140624999,81.5,43,43,50,280.855
1598459313.006011293,99.900,3944.5534531249996,81.5,43,43,50,286.598
1598459314.305942431,99.900,3953.8189062499996,82.125,43,43,50,266.196
1598459315.503985262,99.800,3938.3858125,82.25,43,43,50,279.075
1598459316.685823287,99.900,3943.6991718750014,82.125,43,43,50,284.286
1598459317.979550960,99.900,3947.847812499999,82.125,43,43,50,276.158
1598459319.228435227,99.800,3950.3902343749996,82.25,43,43,50,283.822
1598459320.451950544,99.900,3936.080250000001,82,42,43,50,285.832
1598459321.731807368,99.800,3939.769062499999,81.75,43,43,50,269.970
1598459322.977473550,99.900,3934.6846406250006,81.625,43,43,50,288.821
1598459324.266130396,100.000,3938.458843749999,81.625,43,43,50,274.650
1598459325.532040163,99.900,3935.42534375,81.625,43,44,50,280.222
1598459326.744657251,99.900,3942.383296874999,81.5,43,43,50,293.229
1598459328.043015362,100.000,3937.45371875,81.5,44,44,50,282.301
1598459329.379729159,99.900,3942.5120156250014,81.25,43,43,50,261.824
1598459330.648920877,100.000,3956.831999999999,81.875,43,43,50,293.402
1598459331.939331483,99.900,3946.12440625,82.5,43,43,50,278.172
1598459333.191894304,99.900,3963.7430468750003,82.5,43,44,50,270.479
1598459334.471764186,100.000,3937.9693749999983,82.25,43,43,50,280.244
1598459335.710289161,99.900,3932.7484062500002,81.875,43,43,50,282.577
1598459337.009988623,99.900,3933.845765625,81.5,43,44,50,292.546
1598459338.287350507,99.900,3939.9421093750007,81.5,43,44,50,278.608
1598459339.581210916,99.800,3922.897828125,81.5,43,43,50,272.877
1598459340.883444293,99.900,3940.8976249999982,81.125,43,43,50,272.422
1598459342.048368389,99.900,3936.6375156249997,81.25,43,44,50,284.563
1598459343.317964726,100.000,3951.844578125,81.625,43,44,50,279.637
1598459344.623178141,99.900,3965.543296875001,81.75,43,44,50,289.597
1598459345.888561961,99.900,3954.0010312500012,82,43,43,50,270.176
1598459347.185296023,100.000,3931.6458593749985,82,43,44,51,284.595
1598459348.438526921,99.900,3947.3491874999995,81.75,43,44,51,274.790
1598459349.683192239,99.900,3947.1458906250014,81.75,43,43,50,290.199
1598459350.984368895,99.800,3934.5957968749995,81.5,43,43,50,267.267
1598459352.223458164,99.900,3926.982296875,81.25,43,44,51,287.633
1598459353.441106328,99.900,3942.0842812500014,82,44,44,51,274.769
1598459354.659085367,99.900,3966.0771250000003,82.75,43,44,51,294.022
1598459355.958612555,99.900,3948.0131562500005,82.625,43,43,51,262.672
1598459357.193328032,99.900,3951.361671875,82.25,43,44,51,301.578
1598459358.543347838,99.900,3949.2894374999996,82,43,44,51,272.115
1598459359.818019883,100.000,3943.944656249999,81.75,43,44,51,281.608
1598459361.097907025,99.900,3940.7928593750007,81.75,43,44,51,266.891
1598459362.332550520,99.900,3940.116078125001,81.75,43,44,51,286.425
1598459363.634614467,99.900,3942.4167187499993,81.5,43,44,51,286.644
1598459364.872391365,99.900,3941.5592031250003,81.125,43,44,51,266.915
1598459366.136215709,100.000,3950.0007499999983,81.25,43,43,51,285.789
1598459367.418180509,99.900,3941.3335937499996,81.25,43,43,51,275.404
1598459368.609945903,99.900,3934.553421874998,81.25,43,44,51,279.099
1598459369.850681280,99.900,3927.2152812500003,81.25,43,43,52,287.286
1598459371.063666907,100.000,3950.2165625000007,81.5,43,43,52,278.845
1598459372.381480159,99.900,3944.035078125001,81.5,43,43,52,274.938
1598459373.564015289,99.900,3927.4070468749997,81,43,44,52,280.812
1598459374.872342721,99.900,3931.48959375,80.5,43,44,51,285.050
1598459376.101177272,100.000,3929.995499999999,80.5,43,44,51,282.087
1598459377.341049909,99.900,3924.8745468750003,80.625,43,44,52,284.984
1598459378.620222238,99.900,3937.982328124999,80.625,43,44,52,277.556
1598459379.916082921,99.900,3935.22603125,80.75,43,43,52,271.367
1598459381.088176538,99.900,3944.984140625,80.75,43,44,52,295.507
1598459382.433321331,99.900,3932.261890625,80.75,43,44,51,266.215
1598459383.728419266,99.900,3938.5804062499997,80.75,44,44,51,293.584
1598459385.018710539,99.900,3926.6097343750002,80.75,44,44,52,267.787
1598459386.292768740,100.000,3933.759124999999,81.625,43,44,52,276.011
1598459387.526831692,99.800,3936.6278593749994,82,43,44,51,282.257
1598459388.782398964,99.900,3949.0217656249993,82,44,44,51,278.314
1598459390.027323188,99.900,3928.462875,81.125,44,44,52,281.364
1598459391.293102122,99.900,3935.104156250001,80.875,44,44,52,282.463
1598459392.577162065,99.900,3944.9360781249998,80.875,44,44,51,277.588
1598459393.749616521,99.900,3931.740968750001,81.625,43,44,51,276.298
1598459394.965708920,100.000,3945.4976718749995,82.375,43,44,52,286.639
1598459396.238961448,99.900,3950.8677499999994,82.75,43,44,52,291.591
1598459397.580713792,99.900,3953.6009375,82.75,44,44,51,273.158
1598459398.880434594,99.900,3951.45415625,83.25,43,44,51,273.798
1598459400.165284023,99.900,3932.291640625,83.125,44,44,51,291.803
1598459401.470415249,100.000,3938.811031250002,82.125,43,44,51,272.672
1598459402.775483845,99.900,3938.635093749999,81.875,44,44,51,277.186
1598459404.050881743,99.900,3931.978296874999,81.875,44,44,51,291.537
1598459405.360300670,99.800,3942.889499999999,81.75,43,44,51,266.431
1598459406.519178645,99.900,3946.4538281250007,82.125,43,44,51,295.252
1598459407.791242255,100.000,3954.4347187500002,82.75,43,44,52,267.200
1598459409.031690229,99.800,3933.4332500000005,82.5,44,44,52,279.218
1598459410.299346887,100.000,3931.9477812500004,82.375,44,44,52,278.751
1598459411.525074782,99.900,3945.5071875000017,82.25,44,44,52,280.732
1598459412.781091253,100.000,3944.6002656249984,82.25,44,44,52,287.336
