Logged in ftmon_202008300701.csv
epoch [s], CPU usage [%], Clock [MHz], Tdie [C], Tgpu_edge [C], Tgpu_junc [C], Tsys [C], Power [W]
1598738516.052910551,0,2199.8429687499997,38.75,39,39,41,40.616
1598738517.110549000,0,2199.6981250000003,39,39,39,41,44.152
1598738518.165400672,0,2199.829484375,38.875,40,40,41,41.269
1598738519.214828977,0,2199.8422656249995,39,39,39,41,43.863
1598738520.265154260,0,2199.810171874999,39,39,39,41,43.200
1598738521.315169295,.100,2199.8259375000007,39,39,39,41,40.969
1598738522.366072625,0,2199.8053124999997,39,39,39,41,43.029
1598738523.573906075,.400,2199.8117812500004,39,39,40,41,43.176
1598738524.624679226,0,2199.824421875001,39,39,39,41,43.729
1598738525.674927182,0,2199.8196406250004,39,39,39,41,43.304
1598738526.725067528,0,2199.79425,39,39,40,41,44.322
1598738527.775664107,.300,2199.8322500000004,39,40,40,41,43.816
1598738528.956781244,.100,2199.8227812500004,39,39,40,41,41.561
1598738530.005165560,0,2199.8477187500002,39,40,40,41,42.141
1598738531.065508964,0,2199.8507343750007,39,40,40,41,40.429
1598738532.125051047,.100,2199.8455,39,40,40,41,43.365
1598738533.185976025,25.900,3943.472703124999,68.25,40,40,41,85.421
1598738534.465518081,100.000,3947.31071875,69.5,39,40,40,278.344
1598738535.724999839,100.000,3939.8435312500005,71.625,39,40,40,295.222
1598738537.054018906,99.900,3936.29725,73.375,39,40,40,267.769
1598738538.316537733,100.000,3945.136234375,74.125,39,40,40,294.084
1598738539.656236092,100.000,3919.748890625001,74.125,40,40,40,273.779
1598738540.914534906,99.900,3929.242906249998,74.75,39,40,40,269.899
1598738542.169109400,99.900,3946.879515625,75,39,40,40,288.140
1598738543.470210606,99.900,3953.9273437499983,75.625,40,40,40,272.427
1598738544.705196635,99.900,3940.3935625,75.625,39,40,40,290.646
1598738546.004220860,99.900,3938.699468749998,75.625,40,40,40,270.939
1598738547.298019150,99.900,3951.1776562499995,76.25,39,40,40,282.850
1598738548.576949472,99.900,3953.0949062499994,76.5,39,40,40,282.635
1598738549.898472611,100.000,3923.5420937499994,76.25,39,39,41,270.562
1598738551.121724713,99.900,3943.194734375,76.25,39,40,41,278.099
1598738552.312991694,99.900,3938.765843749999,76.625,40,40,41,292.854
1598738553.556842287,100.000,3943.983140625,76.75,39,40,41,270.126
1598738554.835843532,99.900,3936.072609375,76.875,39,39,41,290.930
1598738556.143045753,99.900,3939.4648281249997,76.75,39,39,41,265.610
1598738557.405470409,100.000,3945.740328125001,76.375,39,40,41,282.324
1598738558.627157502,99.800,3947.769578125001,76.5,39,39,41,281.192
1598738559.925198511,99.900,3944.229765625,76.375,39,39,41,285.830
1598738561.245011338,99.900,3952.928062499999,76.25,39,40,41,272.822
1598738562.466926697,100.000,3950.3984843749995,76.125,39,39,41,287.336
1598738563.731361454,99.900,3942.0782343750006,76.25,39,40,41,275.032
1598738564.969153280,100.000,3945.749671875,75.625,39,39,41,299.729
1598738566.287057395,99.900,3928.786078124999,75.875,39,40,41,257.260
1598738567.545815518,100.000,3939.888421875,77.375,39,39,41,283.381
1598738568.806985013,99.900,3952.59959375,77,39,39,41,276.178
1598738570.056733179,99.900,3953.364171875,75.5,39,39,41,286.078
1598738571.320493077,100.000,3938.739234374999,75,39,40,41,286.063
1598738572.630016124,99.900,3936.8753281250006,75,39,39,41,270.887
1598738573.856828864,99.900,3946.9165625,75,39,39,41,283.454
1598738575.118829466,99.900,3936.736218750001,74.75,39,39,41,282.894
1598738576.412085903,100.000,3935.8880156250007,74.75,39,39,41,284.277
1598738577.775984682,99.900,3934.0126875000014,75.25,39,39,41,269.530
1598738578.994911098,99.900,3945.9866562500006,76,39,39,41,291.253
1598738580.282725145,99.900,3945.7008906250007,76.75,39,39,41,271.777
1598738581.547904866,99.900,3939.8452031249994,77.25,39,39,41,280.171
1598738582.857180827,100.000,3957.9134843749985,77.25,39,39,41,283.355
1598738584.117916538,99.900,3964.003734374999,77.125,39,39,41,278.936
1598738585.382014926,99.900,3956.0989531249993,76.5,39,39,41,279.302
1598738586.701689134,99.900,3948.5375624999997,76,39,39,41,287.699
1598738587.990746325,99.900,3946.340453124999,76.125,39,39,42,273.893
1598738589.333867985,99.900,3962.4042499999987,76.625,39,39,42,274.756
1598738590.662258069,100.000,3958.76784375,77,38,39,42,283.504
1598738592.002086998,99.800,3955.435671874998,77,39,39,42,286.716
1598738593.310605872,99.900,3959.2484375,77,39,39,41,264.905
1598738594.584983130,99.800,3954.7172031249993,77,38,39,41,279.455
1598738595.805708749,99.900,3942.9393281249995,77,39,39,42,303.003
1598738597.128496193,99.900,3950.6688750000003,77.25,39,39,42,257.590
1598738598.354231987,99.900,3957.046640624999,77.5,39,39,41,292.379
1598738599.665871911,99.900,3941.2942968750003,78.25,39,39,41,270.692
1598738600.958928268,99.900,3942.5157812499997,77.875,39,39,42,283.005
1598738602.213845548,100.000,3953.2058124999994,77.5,39,39,42,283.810
1598738603.489015352,99.900,3948.8543906250006,77.5,39,39,42,275.783
1598738604.677472517,99.900,3936.944578125,76.75,39,39,42,278.709
1598738605.918686778,99.900,3934.9785937500005,76.125,39,39,42,280.170
1598738607.147897299,99.600,3968.5828906249985,76.5,38,39,42,274.009
1598738608.304207756,99.800,3953.0053281250002,76.5,39,39,41,299.786
1598738609.631842910,100.000,3953.0567656250005,76.5,39,39,41,273.100
1598738610.911464824,99.900,3945.57303125,76.75,38,39,42,289.266
1598738612.216177445,99.900,3961.103468750001,77.25,39,39,42,278.133
1598738613.536956820,99.900,3946.260515625001,77.25,38,39,42,269.221
1598738614.779627698,99.900,3954.7679531250005,76.75,38,39,42,272.625
1598738616.044296474,99.900,3946.4975625,76.75,38,39,42,294.239
1598738617.245147210,99.900,3942.2416250000006,76.625,38,39,42,268.379
1598738618.517363337,99.900,3950.0761093749998,76.75,39,39,42,282.361
1598738619.818393526,99.900,3956.439468749999,77.625,38,39,42,273.943
1598738621.074136090,99.900,3950.361640625,77.75,38,39,42,286.304
1598738622.347423880,100.000,3934.992375,77.75,39,39,42,283.004
1598738623.592699894,99.900,3931.9031875,77.75,39,39,42,274.315
1598738624.848246518,99.900,3936.513500000001,77.625,39,39,42,300.384
